YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,RH
2010,1,1,0.0,31.0,22.3,26.7,1.0,140.0,74.0
2010,1,2,0.0,31.4,22.8,27.1,1.0,350.0,76.0
2010,1,3,1.0,31.5,24.0,27.8,1.0,360.0,80.0
2010,1,4,0.0,30.3,22.0,26.2,1.0,360.0,83.0
2010,1,5,0.0,31.2,22.4,26.8,1.0,140.0,82.0
2010,1,6,0.0,31.6,21.8,26.7,1.0,270.0,76.0
2010,1,7,0.0,30.7,20.7,25.7,1.0,160.0,80.0
2010,1,8,0.0,31.3,20.2,25.8,1.0,20.0,77.0
2010,1,9,0.0,29.5,23.0,26.3,1.0,220.0,80.0
2010,1,10,0.0,31.0,24.1,27.5,1.0,20.0,80.0
2010,1,11,0.0,31.3,23.6,27.5,1.0,340.0,78.0
2010,1,12,0.0,31.0,23.0,27.0,2.0,360.0,81.0
2010,1,13,0.0,32.0,23.3,27.7,2.0,40.0,69.0
2010,1,14,0.0,29.2,22.9,26.0,2.0,360.0,66.0
2010,1,15,0.0,30.9,20.8,25.9,2.0,20.0,68.0
2010,1,16,0.0,31.5,24.3,27.9,2.0,40.0,69.0
2010,1,17,1.1,31.0,23.1,27.0,1.0,360.0,75.0
2010,1,18,3.0,30.0,22.8,26.4,1.0,20.0,88.0
2010,1,19,0.0,32.6,23.8,28.2,3.0,110.0,76.0
2010,1,20,0.0,31.0,20.1,25.5,1.0,140.0,77.0
2010,1,21,0.0,31.9,18.7,25.3,2.0,270.0,77.0
2010,1,22,0.0,31.3,20.2,25.8,1.0,70.0,70.0
2010,1,23,0.0,30.0,22.3,26.2,1.0,270.0,80.0
2010,1,24,0.0,30.5,20.4,25.5,1.0,180.0,78.0
2010,1,25,0.0,31.5,22.8,27.2,1.0,20.0,76.0
2010,1,26,0.0,31.2,19.7,25.5,1.0,40.0,74.0
2010,1,27,0.0,32.0,20.9,26.5,1.0,40.0,68.0
2010,1,28,0.0,32.7,19.6,26.2,2.0,40.0,68.0
2010,1,29,0.0,31.7,21.4,26.5,1.0,20.0,68.0
2010,1,30,0.0,32.7,21.4,27.0,1.0,60.0,71.0
2010,1,31,0.0,32.0,21.4,26.7,1.0,140.0,74.0
2010,2,1,0.0,31.2,21.4,26.3,1.0,340.0,76.0
2010,2,2,0.0,33.7,23.0,28.4,1.0,360.0,76.0
2010,2,3,0.0,33.4,18.9,26.2,1.0,140.0,66.0
2010,2,4,0.0,33.1,18.3,25.7,1.0,140.0,63.0
2010,2,5,0.0,33.4,20.6,27.0,2.0,160.0,66.0
2010,2,6,0.0,32.6,21.3,27.0,1.0,160.0,74.0
2010,2,7,0.0,33.5,19.8,26.7,1.0,220.0,68.0
2010,2,8,0.0,33.6,21.3,27.5,1.0,180.0,64.0
2010,2,9,0.0,33.1,24.3,28.7,2.0,160.0,69.0
2010,2,10,0.0,33.5,23.0,28.3,2.0,140.0,70.0
2010,2,11,0.0,33.4,20.5,27.0,2.0,140.0,62.0
2010,2,12,0.0,33.9,22.3,28.1,2.0,180.0,65.0
2010,2,13,0.0,33.2,24.2,28.7,2.0,90.0,68.0
2010,2,14,0.0,32.2,20.3,26.3,1.0,90.0,72.0
2010,2,15,0.0,32.3,22.9,27.6,1.0,160.0,74.0
2010,2,16,0.0,32.4,20.8,26.6,1.0,140.0,72.0
2010,2,17,0.0,32.0,19.4,25.7,1.0,90.0,70.0
2010,2,18,0.0,33.5,20.1,26.8,1.0,160.0,66.0
2010,2,19,0.0,33.3,22.1,27.7,2.0,180.0,72.0
2010,2,20,0.0,32.9,22.5,27.7,1.0,320.0,76.0
2010,2,21,0.0,33.6,22.0,27.8,1.0,160.0,72.0
2010,2,22,0.0,34.0,24.3,29.2,1.0,140.0,74.0
2010,2,23,0.0,33.6,22.6,28.1,2.0,140.0,75.0
2010,2,24,0.0,34.5,22.7,28.6,2.0,140.0,64.0
2010,2,25,0.0,33.9,22.0,28.0,2.0,180.0,67.0
2010,2,26,0.0,33.6,22.1,27.9,2.0,140.0,69.0
2010,2,27,0.0,33.8,21.2,27.5,2.0,180.0,62.0
2010,2,28,0.0,34.2,20.8,27.5,2.0,140.0,65.0
2010,3,1,0.0,33.4,18.6,26.0,1.0,160.0,66.0
2010,3,2,0.0,34.4,22.5,28.5,1.0,140.0,68.0
2010,3,3,0.0,35.5,22.1,28.8,1.0,160.0,62.0
2010,3,4,0.0,35.0,22.9,29.0,1.0,160.0,62.0
2010,3,5,0.0,34.4,21.6,28.0,2.0,140.0,65.0
2010,3,6,0.0,35.8,23.0,29.4,1.0,160.0,68.0
2010,3,7,0.0,34.9,26.4,30.7,1.0,180.0,67.0
2010,3,8,0.0,35.6,24.8,30.2,1.0,140.0,62.0
2010,3,9,0.0,34.5,24.6,29.5,1.0,160.0,69.0
2010,3,10,0.0,33.5,25.3,29.4,2.0,220.0,72.0
2010,3,11,0.0,31.7,24.1,27.9,1.0,20.0,74.0
2010,3,12,2.4,32.4,24.0,28.2,1.0,90.0,75.0
2010,3,13,0.0,35.0,23.6,29.3,2.0,150.0,66.0
2010,3,14,0.0,35.3,23.5,29.4,1.0,110.0,66.0
2010,3,15,0.0,33.1,24.0,28.6,2.0,140.0,72.0
2010,3,16,0.0,35.3,23.6,29.5,2.0,160.0,68.0
2010,3,17,0.0,34.0,24.6,29.3,2.0,70.0,71.0
2010,3,18,0.0,34.8,22.8,28.8,1.0,180.0,71.0
2010,3,19,0.0,35.4,21.9,28.7,1.0,140.0,59.0
2010,3,20,0.0,35.3,24.3,29.8,1.0,40.0,63.0
2010,3,21,0.0,34.6,24.2,29.4,2.0,140.0,69.0
2010,3,22,0.0,34.8,21.6,28.2,1.0,180.0,78.0
2010,3,23,0.0,33.5,22.0,27.8,1.0,160.0,70.0
2010,3,24,0.0,34.0,22.9,28.5,1.0,180.0,64.0
