date,TMEAN,RAINFALL,RH,Cases
2024-01-01,27.3,14.5,85.83333333333333,8
2024-01-02,26.7,6.1,84.875,13
2024-01-03,28.2,0.0,81.70833333333333,16
2024-01-04,27.6,0.0,73.83333333333333,21
2024-01-05,26.4,0.0,74.58333333333333,12
2024-01-06,27.1,0.0,69.29166666666667,9
2024-01-07,26.1,0.0,67.5,12
2024-01-08,27.5,0.0,75.875,15
2024-01-09,26.5,2.3,79.79166666666667,28
2024-01-10,27.7,0.3,80.16666666666667,21
2024-01-11,26.1,0.0,71.33333333333333,18
2024-01-12,25.9,0.0,67.875,7
2024-01-13,26.6,0.0,63.958333333333336,8
2024-01-14,26.4,0.0,67.83333333333333,9
2024-01-15,25.9,0.1,67.04166666666667,34
2024-01-16,25.2,0.0,64.91666666666667,18
2024-01-17,24.8,0.0,67.16666666666667,13
2024-01-18,25.5,0.0,70.25,18
2024-01-19,25.9,0.0,70.95833333333333,19
2024-01-20,25.7,0.0,74.125,8
2024-01-21,27.0,0.5,72.625,4
2024-01-22,26.5,0.0,74.33333333333333,9
2024-01-23,26.8,0.0,74.125,5
2024-01-24,26.1,1.5,66.95833333333333,33
2024-01-25,25.1,0.0,66.0,15
2024-01-26,24.9,0.0,66.95833333333333,11
2024-01-27,24.6,0.0,67.875,6
2024-01-28,24.6,0.0,65.54166666666667,7
2024-01-29,24.8,0.0,65.375,15
2024-01-30,25.3,0.0,68.29166666666667,20
2024-01-31,25.5,0.0,70.0,16
2024-02-01,26.9,0.0,69.33333333333333,13
2024-02-02,26.3,0.0,67.5,18
2024-02-03,28.5,0.0,69.29166666666667,8
2024-02-04,27.8,0.0,66.54166666666667,6
2024-02-05,27.1,0.0,70.70833333333333,19
2024-02-06,26.4,0.0,67.75,15
2024-02-07,27.7,0.0,66.29166666666667,21
2024-02-08,28.1,0.0,68.79166666666667,12
2024-02-09,26.4,0.8,68.70833333333333,8
2024-02-10,25.8,1.3,64.54166666666667,9
2024-02-11,26.4,0.0,60.958333333333336,6
2024-02-12,25.3,0.0,58.708333333333336,22
2024-02-13,26.8,0.0,65.58333333333333,20
2024-02-14,27.7,0.0,66.83333333333333,11
2024-02-15,27.4,0.0,67.04166666666667,13
2024-02-16,26.9,0.0,65.0,23
2024-02-17,27.4,0.0,62.25,7
2024-02-18,27.8,0.0,62.375,6
2024-02-19,27.7,0.0,62.041666666666664,24
2024-02-20,28.1,0.0,60.541666666666664,21
2024-02-21,27.4,0.0,62.875,8
2024-02-22,28.1,0.0,65.16666666666667,10
