Month, dengue
2010-01,15
2010-02,12
2010-03,7
2010-04,5
2010-05,8
2010-06,11
2010-07,30
2010-08,70
2010-09,85
2010-10,38
2010-11,18
2010-12,17
2011-01,16
2011-02,15
2011-03,10
2011-04,8
2011-05,9
2011-06,12
2011-07,17
2011-08,72
2011-09,48
2011-10,34
2011-11,28
2011-12,22
2012-01,20
2012-02,17
2012-03,14
2012-04,8
2012-05,15
2012-06,25
2012-07,39
2012-08,43
2012-09,33
2012-10,28
2012-11,21
2012-12,18
2013-01,18
2013-02,16
2013-03,13
2013-04,10
2013-05,10
2013-06,20
2013-07,37
2013-08,43
2013-09,43
2013-10,34
2013-11,23
2013-12,18
2014-01,18
2014-02,14
2014-03,12
2014-04,9
2014-05,10
2014-06,13
2014-07,20
2014-08,20
2014-09,19
2014-10,20
2014-11,19
2014-12,17
2015-01,18
2015-02,15
2015-03,11
2015-04,9
2015-05,8
2015-06,11
2015-07,24
2015-08,30
2015-09,40
2015-10,51
2015-11,29
2015-12,20
2016-01,22
2016-02,16
2016-03,12
2016-04,7
2016-05,8
2016-06,13
2016-07,25
2016-08,40
2016-09,37
2016-10,23
2016-11,18
2016-12,14
2017-01,14
2017-02,13
2017-03,9
2017-04,8
2017-05,7
2017-06,11
2017-07,17
2017-08,22
2017-09,17
2017-10,17
2017-11,16
2017-12,21
2018-01,17
2018-02,14
2018-03,10
2018-04,7
2018-05,7
2018-06,11
2018-07,25
2018-08,26
2018-09,20
2018-10,20
2018-11,18
2018-12,21
2019-01,34
2019-02,24
2019-03,12
2019-04,10
2019-05,9
2019-06,15
2019-07,49
2019-08,100
2019-09,97
2019-10,46
2019-11,24
2019-12,18
2020-01,19
2020-02,12
2020-03,12
2020-04,6
2020-05,5
2020-06,7
2020-07,10
2020-08,10
2020-09,8
2020-10,8
2020-11,9
2020-12,10
2021-01,13
2021-02,10
2021-03,12
2021-04,10
2021-05,8
2021-06,12
2021-07,20
2021-08,23
2021-09,15
2021-10,11
2021-11,10
2021-12,10
2022-01,18
2022-02,9
2022-03,10
2022-04,10
2022-05,15
2022-06,29
2022-07,55
2022-08,47
2022-09,27
2022-10,20
2022-11,18
2022-12,18
2023-01,16
2023-02,13
2023-03,12
2023-04,12
2023-05,12
2023-06,19
2023-07,21
2023-08,19
2023-09,19
2023-10,21
2023-11,19
2023-12,17
2024-01,16
2024-02,13
2024-03,11
2024-04,7
2024-05,8
2024-06,15
2024-07,39
2024-08,53
2024-09,30
2024-10,27
2024-11,24
2024-12,23
