date,YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,RH,dengue,Cases,searches
2010-01-01,2010,1,1,0.0,31.0,22.3,26.7,1.0,140.0,74.0,18.0,12.0,12.0
2010-01-02,2010,1,2,0.0,31.4,22.8,27.1,1.0,350.0,76.0,17.93548387096774,8.0,11.870967741935484
2010-01-03,2010,1,3,1.0,31.5,24.0,27.8,1.0,360.0,80.0,17.870967741935484,9.0,11.741935483870968
2010-01-04,2010,1,4,0.0,30.3,22.0,26.2,1.0,360.0,83.0,17.806451612903224,5.0,11.612903225806452
2010-01-05,2010,1,5,0.0,31.2,22.4,26.8,1.0,140.0,82.0,17.741935483870968,10.0,11.483870967741936
2010-01-06,2010,1,6,0.0,31.6,21.8,26.7,1.0,270.0,76.0,17.677419354838708,12.0,11.35483870967742
2010-01-07,2010,1,7,0.0,30.7,20.7,25.7,1.0,160.0,80.0,17.612903225806452,13.0,11.225806451612904
2010-01-08,2010,1,8,0.0,31.3,20.2,25.8,1.0,20.0,77.0,17.548387096774192,4.0,11.096774193548388
2010-01-09,2010,1,9,0.0,29.5,23.0,26.3,1.0,220.0,80.0,17.483870967741936,8.0,10.967741935483872
2010-01-10,2010,1,10,0.0,31.0,24.1,27.5,1.0,20.0,80.0,17.419354838709676,7.0,10.838709677419354
2010-01-11,2010,1,11,0.0,31.3,23.6,27.5,1.0,340.0,78.0,17.35483870967742,11.0,10.709677419354838
2010-01-12,2010,1,12,0.0,31.0,23.0,27.0,2.0,360.0,81.0,17.29032258064516,7.0,10.580645161290322
2010-01-13,2010,1,13,0.0,32.0,23.3,27.7,2.0,40.0,69.0,17.225806451612904,9.0,10.451612903225806
2010-01-14,2010,1,14,0.0,29.2,22.9,26.0,2.0,360.0,66.0,17.161290322580644,9.0,10.32258064516129
2010-01-15,2010,1,15,0.0,30.9,20.8,25.9,2.0,20.0,68.0,17.096774193548388,13.0,10.193548387096774
2010-01-16,2010,1,16,0.0,31.5,24.3,27.9,2.0,40.0,69.0,17.032258064516128,12.0,10.064516129032258
2010-01-17,2010,1,17,1.1,31.0,23.1,27.0,1.0,360.0,75.0,16.967741935483872,1.0,9.935483870967742
2010-01-18,2010,1,18,3.0,30.0,22.8,26.4,1.0,20.0,88.0,16.903225806451612,1.0,9.806451612903226
2010-01-19,2010,1,19,0.0,32.6,23.8,28.2,3.0,110.0,76.0,16.838709677419356,8.0,9.67741935483871
2010-01-20,2010,1,20,0.0,31.0,20.1,25.5,1.0,140.0,77.0,16.774193548387096,8.0,9.548387096774194
2010-01-21,2010,1,21,0.0,31.9,18.7,25.3,2.0,270.0,77.0,16.70967741935484,4.0,9.419354838709678
2010-01-22,2010,1,22,0.0,31.3,20.2,25.8,1.0,70.0,70.0,16.64516129032258,4.0,9.290322580645162
2010-01-23,2010,1,23,0.0,30.0,22.3,26.2,1.0,270.0,80.0,16.580645161290324,3.0,9.161290322580646
2010-01-24,2010,1,24,0.0,30.5,20.4,25.5,1.0,180.0,78.0,16.516129032258064,4.0,9.03225806451613
2010-01-25,2010,1,25,0.0,31.5,22.8,27.2,1.0,20.0,76.0,16.451612903225808,5.0,8.903225806451612
2010-01-26,2010,1,26,0.0,31.2,19.7,25.5,1.0,40.0,74.0,16.387096774193548,3.0,8.774193548387096
2010-01-27,2010,1,27,0.0,32.0,20.9,26.5,1.0,40.0,68.0,16.322580645161292,4.0,8.64516129032258
2010-01-28,2010,1,28,0.0,32.7,19.6,26.2,2.0,40.0,68.0,16.258064516129032,9.0,8.516129032258064
2010-01-29,2010,1,29,0.0,31.7,21.4,26.5,1.0,20.0,68.0,16.193548387096776,16.0,8.387096774193548
2010-01-30,2010,1,30,0.0,32.7,21.4,27.0,1.0,60.0,71.0,16.129032258064516,2.0,8.258064516129032
2010-01-31,2010,1,31,0.0,32.0,21.4,26.7,1.0,140.0,74.0,16.06451612903226,6.0,8.129032258064516
2010-02-01,2010,2,1,0.0,31.2,21.4,26.3,1.0,340.0,76.0,16.0,4.0,8.0
2010-02-02,2010,2,2,0.0,33.7,23.0,28.4,1.0,360.0,76.0,15.821428571428571,3.0,7.892857142857143
2010-02-03,2010,2,3,0.0,33.4,18.9,26.2,1.0,140.0,66.0,15.642857142857142,5.0,7.785714285714286
2010-02-04,2010,2,4,0.0,33.1,18.3,25.7,1.0,140.0,63.0,15.464285714285714,3.0,7.678571428571429
2010-02-05,2010,2,5,0.0,33.4,20.6,27.0,2.0,160.0,66.0,15.285714285714286,10.0,7.571428571428571
2010-02-06,2010,2,6,0.0,32.6,21.3,27.0,1.0,160.0,74.0,15.107142857142858,6.0,7.464285714285714
2010-02-07,2010,2,7,0.0,33.5,19.8,26.7,1.0,220.0,68.0,14.928571428571429,4.0,7.357142857142857
2010-02-08,2010,2,8,0.0,33.6,21.3,27.5,1.0,180.0,64.0,14.75,5.0,7.25
2010-02-09,2010,2,9,0.0,33.1,24.3,28.7,2.0,160.0,69.0,14.571428571428571,5.0,7.142857142857143
2010-02-10,2010,2,10,0.0,33.5,23.0,28.3,2.0,140.0,70.0,14.392857142857142,6.0,7.035714285714286
2010-02-11,2010,2,11,0.0,33.4,20.5,27.0,2.0,140.0,62.0,14.214285714285714,2.0,6.928571428571429
2010-02-12,2010,2,12,0.0,33.9,22.3,28.1,2.0,180.0,65.0,14.035714285714286,1.0,6.821428571428571
2010-02-13,2010,2,13,0.0,33.2,24.2,28.7,2.0,90.0,68.0,13.857142857142858,2.0,6.714285714285714
2010-02-14,2010,2,14,0.0,32.2,20.3,26.3,1.0,90.0,72.0,13.678571428571429,1.0,6.607142857142858
2010-02-15,2010,2,15,0.0,32.3,22.9,27.6,1.0,160.0,74.0,13.5,10.0,6.5
2010-02-16,2010,2,16,0.0,32.4,20.8,26.6,1.0,140.0,72.0,13.321428571428571,3.0,6.392857142857143
2010-02-17,2010,2,17,0.0,32.0,19.4,25.7,1.0,90.0,70.0,13.142857142857142,7.0,6.285714285714286
2010-02-18,2010,2,18,0.0,33.5,20.1,26.8,1.0,160.0,66.0,12.964285714285714,3.0,6.178571428571429
2010-02-19,2010,2,19,0.0,33.3,22.1,27.7,2.0,180.0,72.0,12.785714285714286,7.0,6.071428571428571
2010-02-20,2010,2,20,0.0,32.9,22.5,27.7,1.0,320.0,76.0,12.607142857142858,5.0,5.964285714285714
2010-02-21,2010,2,21,0.0,33.6,22.0,27.8,1.0,160.0,72.0,12.428571428571429,7.0,5.857142857142858
2010-02-22,2010,2,22,0.0,34.0,24.3,29.2,1.0,140.0,74.0,12.25,5.0,5.75
2010-02-23,2010,2,23,0.0,33.6,22.6,28.1,2.0,140.0,75.0,12.071428571428571,2.0,5.642857142857143
2010-02-24,2010,2,24,0.0,34.5,22.7,28.6,2.0,140.0,64.0,11.892857142857142,5.0,5.535714285714286
2010-02-25,2010,2,25,0.0,33.9,22.0,28.0,2.0,180.0,67.0,11.714285714285714,4.0,5.428571428571429
2010-02-26,2010,2,26,0.0,33.6,22.1,27.9,2.0,140.0,69.0,11.535714285714286,4.0,5.321428571428571
2010-02-27,2010,2,27,0.0,33.8,21.2,27.5,2.0,180.0,62.0,11.357142857142858,7.0,5.214285714285714
2010-02-28,2010,2,28,0.0,34.2,20.8,27.5,2.0,140.0,65.0,11.178571428571429,3.0,5.107142857142858
2010-03-01,2010,3,1,0.0,33.4,18.6,26.0,1.0,160.0,66.0,11.0,4.0,5.0
2010-03-02,2010,3,2,0.0,34.4,22.5,28.5,1.0,140.0,68.0,10.838709677419354,4.0,5.032258064516129
2010-03-03,2010,3,3,0.0,35.5,22.1,28.8,1.0,160.0,62.0,10.67741935483871,4.0,5.064516129032258
2010-03-04,2010,3,4,0.0,35.0,22.9,29.0,1.0,160.0,62.0,10.516129032258064,3.0,5.096774193548387
2010-03-05,2010,3,5,0.0,34.4,21.6,28.0,2.0,140.0,65.0,10.35483870967742,3.0,5.129032258064516
2010-03-06,2010,3,6,0.0,35.8,23.0,29.4,1.0,160.0,68.0,10.193548387096774,3.0,5.161290322580645
2010-03-07,2010,3,7,0.0,34.9,26.4,30.7,1.0,180.0,67.0,10.03225806451613,2.0,5.193548387096774
2010-03-08,2010,3,8,0.0,35.6,24.8,30.2,1.0,140.0,62.0,9.870967741935484,6.0,5.225806451612903
2010-03-09,2010,3,9,0.0,34.5,24.6,29.5,1.0,160.0,69.0,9.709677419354838,1.0,5.258064516129032
2010-03-10,2010,3,10,0.0,33.5,25.3,29.4,2.0,220.0,72.0,9.548387096774194,8.0,5.290322580645161
2010-03-11,2010,3,11,0.0,31.7,24.1,27.9,1.0,20.0,74.0,9.387096774193548,1.0,5.32258064516129
2010-03-12,2010,3,12,2.4,32.4,24.0,28.2,1.0,90.0,75.0,9.225806451612904,1.0,5.354838709677419
2010-03-13,2010,3,13,0.0,35.0,23.6,29.3,2.0,150.0,66.0,9.064516129032258,4.0,5.387096774193548
2010-03-14,2010,3,14,0.0,35.3,23.5,29.4,1.0,110.0,66.0,8.903225806451612,2.0,5.419354838709677
2010-03-15,2010,3,15,0.0,33.1,24.0,28.6,2.0,140.0,72.0,8.741935483870968,3.0,5.451612903225806
2010-03-16,2010,3,16,0.0,35.3,23.6,29.5,2.0,160.0,68.0,8.580645161290322,9.0,5.483870967741935
2010-03-17,2010,3,17,0.0,34.0,24.6,29.3,2.0,70.0,71.0,8.419354838709678,7.0,5.516129032258064
2010-03-18,2010,3,18,0.0,34.8,22.8,28.8,1.0,180.0,71.0,8.258064516129032,4.0,5.548387096774194
2010-03-19,2010,3,19,0.0,35.4,21.9,28.7,1.0,140.0,59.0,8.096774193548388,1.0,5.580645161290323
2010-03-20,2010,3,20,0.0,35.3,24.3,29.8,1.0,40.0,63.0,7.935483870967742,2.0,5.612903225806452
2010-03-21,2010,3,21,0.0,34.6,24.2,29.4,2.0,140.0,69.0,7.774193548387097,3.0,5.645161290322581
2010-03-22,2010,3,22,0.0,34.8,21.6,28.2,1.0,180.0,78.0,7.612903225806452,4.0,5.67741935483871
