Month, lamok
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,23
2010-07,49
2010-08,59
2010-09,26
2010-10,46
2010-11,0
2010-12,0
2011-01,12
2011-02,7
2011-03,9
2011-04,7
2011-05,10
2011-06,17
2011-07,25
2011-08,28
2011-09,23
2011-10,17
2011-11,12
2011-12,7
2012-01,11
2012-02,11
2012-03,9
2012-04,11
2012-05,0
2012-06,15
2012-07,25
2012-08,20
2012-09,14
2012-10,15
2012-11,15
2012-12,12
2013-01,12
2013-02,11
2013-03,12
2013-04,7
2013-05,10
2013-06,21
2013-07,27
2013-08,22
2013-09,21
2013-10,15
2013-11,14
2013-12,14
2014-01,17
2014-02,23
2014-03,28
2014-04,10
2014-05,7
2014-06,17
2014-07,19
2014-08,28
2014-09,20
2014-10,16
2014-11,13
2014-12,7
2015-01,14
2015-02,12
2015-03,20
2015-04,11
2015-05,13
2015-06,24
2015-07,26
2015-08,24
2015-09,38
2015-10,30
2015-11,16
2015-12,13
2016-01,16
2016-02,17
2016-03,23
2016-04,10
2016-05,7
2016-06,18
2016-07,26
2016-08,26
2016-09,33
2016-10,23
2016-11,20
2016-12,16
2017-01,14
2017-02,17
2017-03,18
2017-04,14
2017-05,7
2017-06,15
2017-07,22
2017-08,24
2017-09,41
2017-10,23
2017-11,24
2017-12,19
2018-01,16
2018-02,21
2018-03,16
2018-04,14
2018-05,12
2018-06,20
2018-07,35
2018-08,23
2018-09,29
2018-10,22
2018-11,26
2018-12,17
2019-01,21
2019-02,20
2019-03,18
2019-04,14
2019-05,7
2019-06,24
2019-07,34
2019-08,62
2019-09,42
2019-10,23
2019-11,26
2019-12,15
2020-01,25
2020-02,18
2020-03,19
2020-04,19
2020-05,21
2020-06,21
2020-07,22
2020-08,22
2020-09,17
2020-10,41
2020-11,33
2020-12,22
2021-01,27
2021-02,31
2021-03,31
2021-04,26
2021-05,24
2021-06,24
2021-07,23
2021-08,42
2021-09,80
2021-10,100
2021-11,56
2021-12,45
2022-01,48
2022-02,49
2022-03,43
2022-04,38
2022-05,30
2022-06,40
2022-07,43
2022-08,34
2022-09,34
2022-10,30
2022-11,31
2022-12,24
2023-01,27
2023-02,31
2023-03,31
2023-04,28
2023-05,23
2023-06,31
2023-07,30
2023-08,25
2023-09,25
2023-10,23
2023-11,25
2023-12,20
