date,RAINFALL,TMEAN,RH,searches1,searches2,Cases
2010-01-01,0.0,26.7,74.0,18.0,12.0,12.0
2010-01-02,0.0,27.1,76.0,17.93548387096774,11.870967741935484,8.0
2010-01-03,1.0,27.8,80.0,17.870967741935484,11.741935483870968,9.0
2010-01-04,0.0,26.2,83.0,17.806451612903224,11.612903225806452,5.0
2010-01-05,0.0,26.8,82.0,17.741935483870968,11.483870967741936,10.0
2010-01-06,0.0,26.7,76.0,17.677419354838708,11.35483870967742,12.0
2010-01-07,0.0,25.7,80.0,17.612903225806452,11.225806451612904,13.0
2010-01-08,0.0,25.8,77.0,17.548387096774192,11.096774193548388,4.0
2010-01-09,0.0,26.3,80.0,17.483870967741936,10.967741935483872,8.0
2010-01-10,0.0,27.5,80.0,17.419354838709676,10.838709677419354,7.0
2010-01-11,0.0,27.5,78.0,17.35483870967742,10.709677419354838,11.0
2010-01-12,0.0,27.0,81.0,17.29032258064516,10.580645161290322,7.0
2010-01-13,0.0,27.7,69.0,17.225806451612904,10.451612903225806,9.0
2010-01-14,0.0,26.0,66.0,17.161290322580644,10.32258064516129,9.0
2010-01-15,0.0,25.9,68.0,17.096774193548388,10.193548387096774,13.0
2010-01-16,0.0,27.9,69.0,17.032258064516128,10.064516129032258,12.0
2010-01-17,1.1,27.0,75.0,16.967741935483872,9.935483870967742,1.0
2010-01-18,3.0,26.4,88.0,16.903225806451612,9.806451612903226,1.0
2010-01-19,0.0,28.2,76.0,16.838709677419356,9.67741935483871,8.0
2010-01-20,0.0,25.5,77.0,16.774193548387096,9.548387096774194,8.0
2010-01-21,0.0,25.3,77.0,16.70967741935484,9.419354838709678,4.0
2010-01-22,0.0,25.8,70.0,16.64516129032258,9.290322580645162,4.0
2010-01-23,0.0,26.2,80.0,16.580645161290324,9.161290322580646,3.0
2010-01-24,0.0,25.5,78.0,16.516129032258064,9.03225806451613,4.0
2010-01-25,0.0,27.2,76.0,16.451612903225808,8.903225806451612,5.0
2010-01-26,0.0,25.5,74.0,16.387096774193548,8.774193548387096,3.0
2010-01-27,0.0,26.5,68.0,16.322580645161292,8.64516129032258,4.0
2010-01-28,0.0,26.2,68.0,16.258064516129032,8.516129032258064,9.0
2010-01-29,0.0,26.5,68.0,16.193548387096776,8.387096774193548,16.0
2010-01-30,0.0,27.0,71.0,16.129032258064516,8.258064516129032,2.0
2010-01-31,0.0,26.7,74.0,16.06451612903226,8.129032258064516,6.0
2010-02-01,0.0,26.3,76.0,16.0,8.0,4.0
2010-02-02,0.0,28.4,76.0,15.821428571428571,7.892857142857143,3.0
2010-02-03,0.0,26.2,66.0,15.642857142857142,7.785714285714286,5.0
2010-02-04,0.0,25.7,63.0,15.464285714285714,7.678571428571429,3.0
2010-02-05,0.0,27.0,66.0,15.285714285714286,7.571428571428571,10.0
2010-02-06,0.0,27.0,74.0,15.107142857142858,7.464285714285714,6.0
2010-02-07,0.0,26.7,68.0,14.928571428571429,7.357142857142857,4.0
2010-02-08,0.0,27.5,64.0,14.75,7.25,5.0
2010-02-09,0.0,28.7,69.0,14.571428571428571,7.142857142857143,5.0
2010-02-10,0.0,28.3,70.0,14.392857142857142,7.035714285714286,6.0
2010-02-11,0.0,27.0,62.0,14.214285714285714,6.928571428571429,2.0
2010-02-12,0.0,28.1,65.0,14.035714285714286,6.821428571428571,1.0
2010-02-13,0.0,28.7,68.0,13.857142857142858,6.714285714285714,2.0
2010-02-14,0.0,26.3,72.0,13.678571428571429,6.607142857142858,1.0
2010-02-15,0.0,27.6,74.0,13.5,6.5,10.0
2010-02-16,0.0,26.6,72.0,13.321428571428571,6.392857142857143,3.0
2010-02-17,0.0,25.7,70.0,13.142857142857142,6.285714285714286,7.0
2010-02-18,0.0,26.8,66.0,12.964285714285714,6.178571428571429,3.0
2010-02-19,0.0,27.7,72.0,12.785714285714286,6.071428571428571,7.0
2010-02-20,0.0,27.7,76.0,12.607142857142858,5.964285714285714,5.0
2010-02-21,0.0,27.8,72.0,12.428571428571429,5.857142857142858,7.0
2010-02-22,0.0,29.2,74.0,12.25,5.75,5.0
2010-02-23,0.0,28.1,75.0,12.071428571428571,5.642857142857143,2.0
2010-02-24,0.0,28.6,64.0,11.892857142857142,5.535714285714286,5.0
2010-02-25,0.0,28.0,67.0,11.714285714285714,5.428571428571429,4.0
2010-02-26,0.0,27.9,69.0,11.535714285714286,5.321428571428571,4.0
2010-02-27,0.0,27.5,62.0,11.357142857142858,5.214285714285714,7.0
2010-02-28,0.0,27.5,65.0,11.178571428571429,5.107142857142858,3.0
2010-03-01,0.0,26.0,66.0,11.0,5.0,4.0
2010-03-02,0.0,28.5,68.0,10.838709677419354,5.032258064516129,4.0
2010-03-03,0.0,28.8,62.0,10.67741935483871,5.064516129032258,4.0
2010-03-04,0.0,29.0,62.0,10.516129032258064,5.096774193548387,3.0
2010-03-05,0.0,28.0,65.0,10.35483870967742,5.129032258064516,3.0
2010-03-06,0.0,29.4,68.0,10.193548387096774,5.161290322580645,3.0
2010-03-07,0.0,30.7,67.0,10.03225806451613,5.193548387096774,2.0
2010-03-08,0.0,30.2,62.0,9.870967741935484,5.225806451612903,6.0
